2023-03-31 14:31:44,567 INFO    MainThread:8930 [wandb_setup.py:_flush():76] Configure stats pid to 8930
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_setup.py:_flush():76] Loading settings from /home/wcl/.config/wandb/settings
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_setup.py:_flush():76] Loading settings from /home/wcl/PRJ/src/PRJ/examples/wandb/settings
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'examples/main.py', 'program': '/home/wcl/PRJ/src/PRJ/examples/main.py'}
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_init.py:_log_setup():506] Logging user logs to /home/wcl/PRJ/src/PRJ/examples/wandb/run-20230331_143144-872jn0b5/logs/debug.log
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_init.py:_log_setup():507] Logging internal logs to /home/wcl/PRJ/src/PRJ/examples/wandb/run-20230331_143144-872jn0b5/logs/debug-internal.log
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_init.py:init():546] calling init triggers
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'Program_name': './cholesky_time', 'Iterations': 60, 'Number of Flags': 101, 'Speed up': True}
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_init.py:init():602] starting backend
2023-03-31 14:31:44,568 INFO    MainThread:8930 [wandb_init.py:init():606] setting up manager
2023-03-31 14:31:44,569 INFO    MainThread:8930 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-31 14:31:44,570 INFO    MainThread:8930 [wandb_init.py:init():613] backend started and connected
2023-03-31 14:31:44,571 INFO    MainThread:8930 [wandb_init.py:init():701] updated telemetry
2023-03-31 14:31:44,573 INFO    MainThread:8930 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-31 14:31:45,009 INFO    MainThread:8930 [wandb_run.py:_on_init():2133] communicating current version
2023-03-31 14:31:45,154 INFO    MainThread:8930 [wandb_run.py:_on_init():2142] got version response 
2023-03-31 14:31:45,154 INFO    MainThread:8930 [wandb_init.py:init():789] starting run threads in backend
2023-03-31 14:31:46,164 INFO    MainThread:8930 [wandb_run.py:_console_start():2114] atexit reg
2023-03-31 14:31:46,164 INFO    MainThread:8930 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-31 14:31:46,164 INFO    MainThread:8930 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-31 14:31:46,165 INFO    MainThread:8930 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-31 14:31:46,165 INFO    MainThread:8930 [wandb_init.py:init():831] run started, returning control to user process
2023-03-31 15:43:23,304 WARNING MsgRouterThr:8930 [router.py:message_loop():77] message_loop has been closed
