2023-03-31 18:38:24,927 INFO    MainThread:15995 [wandb_setup.py:_flush():76] Configure stats pid to 15995
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_setup.py:_flush():76] Loading settings from /home/wcl/.config/wandb/settings
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_setup.py:_flush():76] Loading settings from /home/wcl/PRJ/src/PRJ/examples/wandb/settings
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'examples/main.py', 'program': '/home/wcl/PRJ/src/PRJ/examples/main.py'}
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_init.py:_log_setup():506] Logging user logs to /home/wcl/PRJ/src/PRJ/examples/wandb/run-20230331_183824-164mgzpi/logs/debug.log
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_init.py:_log_setup():507] Logging internal logs to /home/wcl/PRJ/src/PRJ/examples/wandb/run-20230331_183824-164mgzpi/logs/debug-internal.log
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_init.py:init():546] calling init triggers
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'Program_name': './jacobi_2d_time', 'Iterations': 60, 'Number of Flags': 101, 'Speed up': True}
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_init.py:init():602] starting backend
2023-03-31 18:38:24,928 INFO    MainThread:15995 [wandb_init.py:init():606] setting up manager
2023-03-31 18:38:24,929 INFO    MainThread:15995 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-31 18:38:24,930 INFO    MainThread:15995 [wandb_init.py:init():613] backend started and connected
2023-03-31 18:38:24,931 INFO    MainThread:15995 [wandb_init.py:init():701] updated telemetry
2023-03-31 18:38:24,934 INFO    MainThread:15995 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-31 18:38:25,414 INFO    MainThread:15995 [wandb_run.py:_on_init():2133] communicating current version
2023-03-31 18:38:25,498 INFO    MainThread:15995 [wandb_run.py:_on_init():2142] got version response 
2023-03-31 18:38:25,498 INFO    MainThread:15995 [wandb_init.py:init():789] starting run threads in backend
2023-03-31 18:38:26,533 INFO    MainThread:15995 [wandb_run.py:_console_start():2114] atexit reg
2023-03-31 18:38:26,534 INFO    MainThread:15995 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-31 18:38:26,534 INFO    MainThread:15995 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-31 18:38:26,534 INFO    MainThread:15995 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-31 18:38:26,534 INFO    MainThread:15995 [wandb_init.py:init():831] run started, returning control to user process
2023-03-31 19:11:09,170 WARNING MsgRouterThr:15995 [router.py:message_loop():77] message_loop has been closed
